__quarterly__,y,*,y_tnd,*,diff_y_tnd,*,y_gap,*,Y,*,diff_cpi,*,diff4_cpi,*,E_diff_cpi,*,rs,*,rrs_gap,*,rrs,*,cpi,*,obs_y,*,obs_diff_y,*,obs_Y,*,obs_y_gap,*,obs_y_gap4,*,obs_rs,*,obs_cpi,*,obs_diff_cpi,*,shk_y_tnd,*,shk_y_gap,*,shk_diff_cpi,*,shk_rs,*,shk_E_diff_cpi,*,ant_shk_y_gap,*,ant_shk_diff_cpi,*,ant_shk_rs,*,
2002-Q3,951.27933899007,951.27933899007,952.638891869733,952.638891869733,,,-1.359552879663,-1.359552879663,,,1.918468905397,1.918468905397,2.095161248578,2.095161248578,,,1.643333333,1.643333333,,,,,523.697373630698,523.697373630698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-Q4,951.409909476756,951.409909476756,953.322334375039,953.322334375039,,,-1.912424898283,-1.912424898283,,,1.627025039125,1.627025039125,1.870545319957,1.870545319957,,,1.333333333,1.333333333,,,,,524.10412989048,524.10412989048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-Q1,951.92530223055,951.92530223055,954.008671251821,954.008671251821,,,-2.083369021271,-2.083369021271,,,1.479786766274,1.479786766274,1.720358151239,1.720358151239,,,1.156666667,1.156666667,,,,,524.474076582048,524.474076582048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-Q2,952.814713021653,952.814713021653,954.697883643624,954.697883643624,,,-1.883170621972,-1.883170621972,,,1.053648866142,1.053648866142,1.519732394235,1.519732394235,,,1.04,1.04,,,,,524.737488798584,524.737488798584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-Q3,954.467869055579,954.467869055579,955.388650588358,955.388650588358,,,-0.920781532779,-0.920781532779,,,1.819775527162,1.819775527162,1.495059049676,1.495059049676,,,0.93,0.93,,,,,525.192432680374,525.192432680374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-Q4,955.615306468873,955.615306468873,956.07847414229,956.07847414229,,,-0.463167673418,-0.463167673418,,,1.672476304452,1.672476304452,1.506421866008,1.506421866008,,,0.916666667,0.916666667,,,,,525.610551756487,525.610551756487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-Q1,956.186588029973,956.186588029973,956.764280873234,956.764280873234,,,-0.57769284326,-0.57769284326,,,2.011623142178,2.011623142178,1.639380959984,1.639380959984,,,0.916666667,0.916666667,,,,,526.113457542032,526.113457542032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-Q2,956.962310268135,956.962310268135,957.442707869203,957.442707869203,,,-0.480397601068,-0.480397601068,,,2.758156006987,2.758156006987,2.065507745195,2.065507745195,,,1.076666667,1.076666667,,,,,526.802996543779,526.802996543779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-Q3,957.89915536283,957.89915536283,958.110031160188,958.110031160188,,,-0.210875797358,-0.210875797358,,,1.78265643029,1.78265643029,2.056227970977,2.056227970977,,,1.486666667,1.486666667,,,,,527.248660651351,527.248660651351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-Q4,958.91599534648,958.91599534648,958.762226527677,958.762226527677,,,0.153768818803,0.153768818803,,,2.523237350283,2.523237350283,2.268918232435,2.268918232435,,,2.006666667,2.006666667,,,,,527.879469988922,527.879469988922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-Q1,960.020752873593,960.020752873593,959.395137955784,959.395137955784,,,0.625614917809,0.625614917809,,,2.304700631102,2.304700631102,2.342187604665,2.342187604665,,,2.536666667,2.536666667,,,,,528.455645146698,528.455645146698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
