__quarterly__,y,cpi,ad_y,ad_cpi,rs,
1963-Q4,823.596067578719,345.736765302417,2.613850843111,1.684212972521,3.496666667,
1964-Q1,825.682403539566,346.156053149385,8.345343843384,1.677151387872,3.53,
1964-Q2,826.765253193406,346.26060097908,4.331398615364,0.41819131878,3.476666667,
1964-Q3,828.315475579867,346.469369332556,6.200889545841,0.835073413904,3.496666667,
1964-Q4,828.623871408942,347.093071978046,1.233583316302,2.49481058196,3.683333333,
1965-Q1,831.014811155419,347.300111368773,9.563758985907,0.828157562908,3.89,
1965-Q2,832.270196365472,347.918670042107,5.021540840211,2.474234693339,3.873333333,
1965-Q3,834.469094699191,348.226520464848,8.795593334879,1.231401690961,3.866666667,
1965-Q4,836.746992942753,348.737507790321,9.111592974248,2.043949301892,4.166666667,
1966-Q1,839.152066541538,349.650756146648,9.620294395138,3.652993425309,4.61,
1966-Q2,839.493086369318,350.755739775297,1.364079311121,4.419934514594,4.586666667,
1966-Q3,840.336425300351,351.650822827216,3.373355724132,3.580332207678,5.043333333,
1966-Q4,841.153485363603,352.34150143864,3.268240253006,2.762714445698,5.21,
1967-Q1,842.035139929235,352.734043640457,3.526618262531,1.570168807265,4.513333333,
1967-Q2,842.096418962424,353.319982816903,0.245116132756,2.343756705786,3.66,
1967-Q3,843.038092187613,354.28898266638,3.766692900755,3.875999397909,4.3,
1967-Q4,843.789280815175,355.248682920838,3.004754510247,3.838801017831,4.753333333,
1968-Q1,845.808268524796,356.482680534962,8.075950838483,4.935990456494,5.05,
1968-Q2,847.465263768535,357.515068878559,6.627980974958,4.12955337439,5.52,
1968-Q3,848.237232074459,358.721580024518,3.087873223695,4.826044583837,5.196666667,
1968-Q4,848.629780634569,360.004824040732,1.57019424044,5.132976064854,5.586666667,
1969-Q1,850.182774525538,361.27180932383,6.211975563877,5.067941132392,6.093333333,
1969-Q2,850.486308714722,362.966009445396,1.214136756734,6.776800486266,6.196666667,
1969-Q3,851.144651083203,364.370773538003,2.633369473926,5.619056370427,7.023333333,
1969-Q4,850.655763384886,365.927898425181,-1.95555079327,6.228499548711,7.353333333,
1970-Q1,850.507182356682,367.630067190708,-0.594324112816,6.808675062107,7.21,
1970-Q2,850.649011732295,369.054473351619,0.567317502453,5.697624643646,6.676666667,
1970-Q3,851.566342191531,370.130197411249,3.669321836942,4.302896238521,6.326666667,
1970-Q4,850.488920689207,371.438474444106,-4.309686009293,5.233108131428,5.353333333,
1971-Q1,853.16868490783,372.328088083127,10.719056874493,3.558454556082,3.84,
1971-Q2,853.708346193046,373.528582692809,2.158645140862,4.801978438729,4.25,
1971-Q3,854.52794536921,374.242022104197,3.278396704656,2.85375764555,5.01,
1971-Q4,854.763451674106,374.871945454845,0.942025219585,2.519693402592,4.23,
1972-Q1,856.585706189667,375.887182593397,7.289018062244,4.06094855421,3.436666667,
1972-Q2,858.830102479373,376.584049525006,8.977585158823,2.787467726438,3.77,
1972-Q3,859.770052959384,377.429233203858,3.759801920045,3.380734715405,4.22,
1972-Q4,861.430647192973,378.267333332442,6.642376934357,3.352400514339,4.863333333,
1973-Q1,863.87532628617,379.773385902602,9.778716372789,6.024210280637,5.7,
1973-Q2,864.958105546111,381.990771652034,4.331117039761,8.869542997729,6.603333333,
1973-Q3,864.430819296019,383.945231259331,-2.109145000365,7.817838429188,8.323333333,
1973-Q4,865.375558591012,386.002771037999,3.778957179971,8.230159114672,7.5,
1974-Q1,864.512068649636,388.293742460168,-3.453959765504,9.163885688677,7.616666667,
1974-Q2,864.749469857194,390.667539903453,0.949604830231,9.495189773137,8.153333333,
1974-Q3,863.799832260494,393.508827842429,-3.798550386798,11.365151755905,8.19,
1974-Q4,863.410936256524,396.651119071222,-1.555584015882,12.569164915171,7.36,
1975-Q1,862.186180776693,398.713047791495,-4.899021919322,8.247714881094,5.75,
1975-Q2,862.898176278495,399.881213543941,2.847982007207,4.672663009784,5.393333333,
1975-Q3,864.595344523797,401.698344100461,6.788672981206,7.268522226079,6.33,
1975-Q4,865.932883606886,403.5419883631,5.350156332358,7.374577050556,5.626666667,
1976-Q1,868.156731896942,404.655389838575,8.895393160221,4.453605901901,4.916666667,
1976-Q2,868.8877539844,405.467930588747,2.924088349834,3.250163000688,5.156666667,
1976-Q3,869.434959842774,407.187170642686,2.188823433496,6.876960215755,5.15,
1976-Q4,870.157196402326,408.541593153385,2.888946238208,5.417690042797,4.673333333,
1977-Q1,871.331754974965,410.098910494077,4.698234290557,6.229269362766,4.63,
1977-Q2,873.257211588503,411.849502250861,7.701826454151,7.002367027138,4.84,
1977-Q3,875.045482188932,413.356527537538,7.153082401716,6.028101146707,5.496666667,
1977-Q4,875.047667936968,414.683158822014,0.008742992144,5.306525137905,6.11,
1978-Q1,875.366322933669,416.563109749444,1.274619986806,7.519803709719,6.393333333,
1978-Q2,879.157799576387,418.914956399094,15.165906570871,9.407386598599,6.476666667,
1978-Q3,880.158295014605,421.212759787848,4.001981752872,9.191213555017,7.313333333,
1978-Q4,881.493484617877,423.313985391781,5.340758413088,8.40490241573,8.57,
1979-Q1,881.673110481581,425.844557290253,0.718503454815,10.122287593888,9.383333333,
1979-Q2,881.779973194363,428.266659854826,0.42745085113,9.688410258291,9.376666667,
1979-Q3,882.520098961846,430.586527366335,2.960503069931,9.279470046039,9.673333333,
1979-Q4,882.769861828828,433.33614626926,0.999051467927,10.998475611699,11.84333333,
1980-Q1,883.083887327767,436.564315542336,1.256101995757,12.912677092303,13.35333333,
1980-Q2,881.001891259668,439.609389184423,-8.327984272398,12.18029456835,9.616666667,
1980-Q3,880.882973463175,441.48164575372,-0.475671185972,7.489026277185,9.153333333,
1980-Q4,882.730722555059,444.500143383527,7.390996367537,12.07399051923,13.61333333,
1981-Q1,884.671202334012,446.667410877245,7.761919115811,8.669069974872,14.39,
1981-Q2,883.927379203043,448.563561725534,-2.975292523876,7.584603393154,14.90666667,
1981-Q3,885.11779081522,451.597460722006,4.761646448709,12.135595985891,15.05333333,
1981-Q4,884.022247507422,453.259949315326,-4.38217323119,6.649954373277,11.75,
1982-Q1,882.456509068482,454.506626195378,-6.262953755763,4.986707520211,12.81333333,
1982-Q2,882.911670152355,456.121829845891,1.820644335495,6.46081460205,12.42,
1982-Q3,882.52863824664,457.677071146639,-1.532127622862,6.220965202994,9.316666667,
1982-Q4,882.568576544118,458.019419988374,0.159753189914,1.369395366938,7.906666667,
1983-Q1,883.87781605428,458.564751953322,5.236958040645,2.181327859792,8.106666667,
1983-Q2,886.127922651456,459.579302420914,9.000426388705,4.05820187037,8.396666667,
1983-Q3,888.107268018358,460.583663086436,7.917381467609,4.017442662089,9.14,
1983-Q4,890.172021984608,461.709875685336,8.259015864999,4.504850395601,8.8,
1984-Q1,892.107932025916,463.246104654835,7.743640165234,6.144915877996,9.17,
1984-Q2,893.820968084411,464.278704923837,6.85214423398,4.130401076007,9.796666667,
