__quarterly__,y,y_tnd,diff_y_tnd,y_gap,diff_cpi,diff4_cpi,E_diff_cpi,rs,rrs_gap,rrs,cpi,
2015-02-15,0.0,1.383338052345,2.498691371741,1.383338052345,2.51705e-07,2.378548212981,0.494012512786,4.29248044561,4.658323122053,4.658323122053,5.504e-08,
2015-05-15,0.0,1.361592876915,2.621930090936,1.361592876915,1.73444e-07,1.583522901465,0.426995045704,2.901295329371,3.164316007542,3.164316007542,1.9802e-08,
2015-08-15,0.0,1.324725793215,2.598704789064,1.324725793215,5.4825e-08,0.808923455506,0.378726593928,1.980561756167,2.14925348482,2.14925348482,0.0,
2015-11-15,1.8493e-08,1.276275044761,2.562360099432,1.276275044761,1.1617e-07,0.0,0.34250292016,1.407074003193,1.484048528912,1.484048528912,3.6958e-08,
2016-02-15,3.2269e-08,1.118242686599,2.109734025435,1.118242686599,5.1144e-08,4.9422e-08,0.292344827399,1.071270265848,1.076727619498,1.076727619498,0.0,
2016-05-15,0.0,1.133634176787,2.609537400971,1.133634176787,9.0917e-08,3.332e-08,0.286628084937,0.910568973843,0.846173154098,0.846173154098,1.1561e-08,
2016-08-15,0.0,1.123169502354,2.543702435065,1.123169502354,3.1779e-08,2.3561e-08,0.279009629928,0.850811513541,0.739470150824,0.739470150824,0.0,
2016-11-15,1.7182e-08,1.138098620217,2.637236023152,1.138098620217,9.2522e-08,2.9802e-08,0.279613230822,0.840907140665,0.701310330019,0.701310330019,1.532e-08,
2017-02-15,0.0,1.012315318967,2.145831424502,1.012315318967,5.1123e-08,2.581e-08,0.24918872902,0.826616578129,0.694225501694,0.694225501694,0.0,
2017-05-15,0.0,1.049203006039,2.583013419217,1.049203006039,0.0,1.0537e-08,0.258053344656,0.821802130463,0.685402229745,0.685402229745,0.0,
2017-08-15,0.0,0.954363503802,2.130395753199,0.954363503802,0.0,1.0537e-08,0.236654438585,0.804485912042,0.681045345291,0.681045345291,0.0,
2017-11-15,0.0,0.98488085658,2.469704964219,0.98488085658,1.0064e-07,1.825e-08,0.244634802516,0.79333847489,0.669873141839,0.669873141839,1.3266e-08,
2018-02-15,0.0,0.899676150818,2.058654168784,0.899676150818,1.14007e-07,1.4901e-08,0.225802541602,0.772648029493,0.661637196147,0.661637196147,1.1398e-08,
2018-05-15,4.848e-09,0.977521598535,2.559332863455,0.977521598535,0.0,0.0,0.244368139236,0.766930384805,0.64886388788,0.64886388788,0.0,
2018-08-15,3.171e-09,1.023170974414,2.555144555306,1.023170974414,0.0,0.0,0.254313364817,0.773444456333,0.645472344135,0.645472344135,0.0,
2018-11-15,0.0,1.023057879993,2.456024926664,1.023057879993,5.7532e-08,1.0537e-08,0.253454557543,0.781512704522,0.649789339029,0.649789339029,2.3164e-08,
2019-02-15,1.7973e-08,0.995356670252,2.352869585375,0.995356670252,0.0,0.0,0.246841160997,0.783525256384,0.65477284053,0.65477284053,0.0,
2019-05-15,0.0,0.887350184702,1.989349208143,0.887350184702,0.0,1.2905e-08,0.222771776074,0.766800308757,0.655140615518,0.655140615518,2.2763e-08,
2019-08-15,0.0,0.954208907994,2.49771490436,0.954208907994,0.0,0.0,0.239096488161,0.759846647574,0.644812254394,0.644812254394,0.0,
2019-11-15,0.0,0.964439202807,2.369724987367,0.964439202807,8.1884e-08,0.0,0.24143139586,0.758426962494,0.640316043095,0.640316043095,0.0,
2020-02-15,0.0,1.008771617811,2.519738393176,1.008771617811,0.0,0.0,0.251148475122,0.766399969549,0.640078247956,0.640078247956,0.0,
2020-05-15,3.2147e-08,1.049706572369,2.579858114246,1.049706572369,0.0,0.0,0.259680408099,0.781721418032,0.645895271424,0.645895271424,0.0,
2020-08-15,4.0135e-08,1.081901265255,2.618306034772,1.081901265255,0.0,0.0,0.266067194019,0.800503088709,0.656338371355,0.656338371355,1.1427e-08,
2020-11-15,0.0,1.091018110798,2.589667233151,1.091018110798,2.9508e-08,0.0,0.267341819557,0.816687243522,0.668579545921,0.668579545921,0.0,
2021-02-15,0.0,0.929451864815,1.953009560458,0.929451864816,7.912e-09,0.0,0.230168031917,0.801826774859,0.677479314468,0.677479314468,0.0,
2021-05-15,1.1807e-08,0.923634166565,2.295619593101,0.923634166565,0.0,0.0,0.23086393416,0.78236387406,0.667529897721,0.667529897721,0.0,
2021-08-15,1.5191e-08,0.979206393944,2.518868532267,0.979206393944,0.0,1.4901e-08,0.244344602287,0.773978828037,0.65474552979,0.65474552979,1.4585e-08,
2021-11-15,1.9805e-08,0.913169435882,2.115514104291,0.913169435882,0.0,0.0,0.229533713528,0.759765104991,0.648335841991,0.648335841991,0.0,
2022-02-15,0.0,0.952001854005,2.412188256505,0.952001854005,4.4598e-08,0.0,0.238888072643,0.753615148145,0.639222080891,0.639222080891,1.3634e-08,
2022-05-15,0.0,0.863455235798,1.943522700142,0.863455235798,0.0,0.0,0.219063601067,0.737324707983,0.634196536225,0.634196536225,0.0,
2022-08-15,1.1757e-08,0.864928632828,2.116878351561,0.864928632828,0.0,0.0,0.220282397677,0.723455940873,0.623745641246,0.623745641246,1.0236e-08,
2022-11-15,1.0606e-08,0.811275440521,1.843663172538,0.811275440521,0.0,0.0,0.208920596522,0.70656054394,0.614783523978,0.614783523978,1.0534e-08,
