__quarterly__,obs_y,obs_diff_y,obs_y_gap,obs_y_gap4,obs_rs,obs_cpi,obs_diff_cpi,y,y_tnd,diff_y_tnd,y_gap,diff_cpi,diff4_cpi,E_diff_cpi,rs,rrs_gap,rrs,cpi,shk_diff_y_tnd,shk_y_gap,shk_diff_cpi,shk_rs,shk_E_diff_cpi,ttrend,,__eof__
2013Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.369292675631643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
2014Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.251329400399447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
2014Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.070398837108484,4.82029010617805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
2014Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,976.077394117256,NaN,NaN,-0.169886477050614,5.21491118463052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
2014Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,976.166013037874,976.622280594307,NaN,-0.456267556432525,5.2993868928353,NaN,NaN,8.75498715003926,NaN,NaN,547.055740927814,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
2015Q1,975.734248,-1.72706015149559,-1.26303259430649,0.251329400399447,8.73060854042739,548.260504,4.81905228874281,975.734248,976.997280594306,1.49999999999954,-1.26303259430649,4.81905228874281,5.03841011809667,3.88960640939271,8.73060854042739,4.34127554371601,4.84127554371601,548.260504,-4.64608430273348e-13,-0.4867043726105,0.280369872887323,0.00522046134150475,0.000273412681333506,-20,,__eof__
2015Q2,976.312574,2.31330400000163,-0.784117915456939,0.0703988371085206,6.7236081074535,548.779382,2.07551199999998,976.312574,977.096691915457,0.397645284601019,-0.784117915456939,2.07551199999998,4.35221559155219,1.64783188863102,6.7236081074535,4.57567024736218,5.07567024736218,548.779382,-1.10235471539898,0.620723555009356,-1.23807931714669,0.00778863860771218,-0.000105971460231038,-19,,__eof__
2015Q3,976.635425,1.29140400000121,-0.744786904304698,-0.169886477050695,5.2856508053156,549.285978,2.02638399999933,976.635425,977.380211904305,1.1340799553937,-0.744786904304698,2.02638399999933,3.55508379539431,1.6880151251537,5.2856508053156,3.09720811813885,3.59720811813885,549.285978,-0.3659200446063,0.153022344101259,0.199724284110689,0.00252948989706917,-0.000427562023417652,-18,,__eof__
2015Q4,976.781553,0.584511999999444,-1.0280119120939,-0.456267556432481,4.14864977317346,549.775958,1.95992000000047,976.781553,977.809564912094,1.71741203115475,-1.0280119120939,1.95992000000047,2.72021707218546,1.61543496971741,4.14864977317346,2.03351462924799,2.53351462924799,549.775958,0.217412031154751,-0.266070270940533,0.221264254837239,-0.00254615448083624,0.000299825792125007,-17,,__eof__
2016Q1,977.369004,2.34980400000139,-1.6056100857795,-1.26303259430652,3.01920864123238,550.2081,1.72856800000048,977.369004,978.974614085779,4.66019669474275,-1.6056100857795,1.72856800000048,1.94759600000007,1.31720352034605,3.01920864123238,1.20149269197775,1.70149269197775,550.2081,3.16019669474275,-0.714451882511266,0.218431424422399,-0.00652910420073516,-0.000512428908461839,-16,,__eof__
2016Q2,977.670936,1.20772800000042,-1.44606541992727,-0.784117915456563,2.59885346146977,550.742284,2.13673600000029,977.670936,979.117001419927,0.569549336590564,-1.44606541992727,2.13673600000029,1.96290200000022,1.74705551962234,2.59885346146977,0.351262802982026,0.851262802982025,550.742284,-0.930450663409436,-0.206731575294445,0.544455158162679,0.00826021095180862,-0.00053513886544811,-15,,__eof__
